Fish ID (#),Total Length (mm),Mass (g),Sex (M/F),Acclimation Temperature (°C),Acclimation Salinity (ppt),Test Temperature (°C),Maximal COX Activity (µmol/min/mg protein),Maximal CS Activity (µmol/min/mg protein),Maximal LDH Activity (µmol/min/mg protein)
74,74,4.735,F,10,11,10,13.645,5.448,128.559
74,74,4.735,F,10,11,24,13.028,6.02,172.951
75,65,3.586,F,10,28,10,14.657,6.145,134.337
75,65,3.586,F,10,28,24,13.124,6.955,186.454
76,66,3.203,F,24,11,10,12.517,7.115,156.454
76,66,3.203,F,24,11,24,14.303,8.951,207.955
77,69,3.894,M,24,28,10,9.836,5.035,114.277
77,69,3.894,M,24,28,24,10.716,5.394,143.404
78,70,4.403,F,10,11,10,11.102,4.177,110.235
78,70,4.403,F,10,11,24,11.774,5.078,149.688
79,79,6.167,F,10,28,10,8.919,3.185,78.879
79,79,6.167,F,10,28,24,8.917,5.066,112.277
80,74,4.994,F,10,28,10,14.627,6.646,134.98
80,74,4.994,F,10,28,24,13.691,8.169,182.689
81,61,2.773,F,24,11,10,7.849,5.505,117.334
81,61,2.773,F,24,11,24,9.314,5.907,151.866
82,69,3.871,M,24,28,10,12.224,5.644,129.346
82,69,3.871,M,24,28,24,12.301,6.458,156.354
83,88,9.011,F,10,11,10,9.445,4.454,90.292
83,88,9.011,F,10,11,24,9.946,4.351,125.595
84,86,9.171,M,24,28,10,10.356,5.877,135.835
84,86,9.171,M,24,28,24,11.822,6.758,166.743
85,65,3.245,F,24,11,10,9.266,4.877,108.093
85,65,3.245,F,24,11,24,10.292,5.773,150.464
86,86,7.832,F,10,28,10,9.288,4.049,95.653
86,86,7.832,F,10,28,24,9.78,4.562,100.851
87,69,3.859,F,10,11,10,9.349,4.043,83.531
87,69,3.859,F,10,11,24,8.805,4.262,109.45
88,71,3.878,F,24,28,10,7.812,4.688,107.31
88,71,3.878,F,24,28,24,9.148,4.889,126.202
89,75,4.838,F,24,11,10,8.15,3.761,89.153
89,75,4.838,F,24,11,24,8.818,3.796,99.796
90,65,3.007,F,10,28,10,10.266,3.88,115.827
90,65,3.007,F,10,28,24,10.433,5.081,116.116
91,73,4.674,F,10,11,10,10.844,4.255,96.167
91,73,4.674,F,10,11,24,10.763,4.712,121.367
92,68,3.824,M,24,28,10,7.727,4.521,87.967
92,68,3.824,M,24,28,24,8.643,3.914,114.19
93,76,5.842,M,24,11,10,7.631,3.747,79.679
93,76,5.842,M,24,11,24,8.077,4.403,98.1
94,70,3.55,M,10,28,10,9.065,4.276,87.681
94,70,3.55,M,10,28,24,9.594,4.471,114.478
95,85,7.675,M,10,11,10,7.5,3.941,92.642
95,85,7.675,M,10,11,24,8.32,3.946,106.342
96,67,3.603,F,24,28,10,6.446,5.007,98.308
96,67,3.603,F,24,28,24,10.524,5.437,139.447
97,74,4.65,M,24,11,10,2.907,5.282,122.198
97,74,4.65,M,24,11,24,6.031,5.167,163.885
98,81,7,F,10,28,10,9.865,3.721,97.602
98,81,7,F,10,28,24,9.96,4.177,117.839
99,82,6.788,M,10,11,10,10.526,6.122,160.31
99,82,6.788,M,10,11,24,9.107,6.255,175.618
100,70,4.242,F,24,28,10,6.544,3.424,76.386
100,70,4.242,F,24,28,24,7.86,3.31,84.167
101,67,3.46,M,24,11,10,4.494,3.879,103.731
101,67,3.46,M,24,11,24,13.392,5.327,121.154
102,70,4.155,F,10,28,10,12.497,4.692,133.095
102,70,4.155,F,10,28,24,12.486,4.368,130.507
103,70,4.199,F,10,11,10,8.678,2.925,91.723
103,70,4.199,F,10,11,24,8.024,3.762,99.042
104,84,6.93,F,24,28,10,13.323,4.305,150.668
104,84,6.93,F,24,28,24,14.432,6.271,155.451
105,69,3.438,F,24,11,10,9.069,5.656,126.529
105,69,3.438,F,24,11,24,11.573,5.366,157.522
