"fish_ID","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","area","S","t","P","rate.abs","rate.a.spec","output.unit","rate.output"
"fish16_acclimation_background",NA,2,97.2119352432266,0.00291287650981772,0.939,493.553632086626,2,50,853.27,1093.277,99.794,100.337,0.00291287650981772,NA,NA,0.00291287650981772,"%Air","sec",0.175,NA,28,10,1.013253,0.0901959050102455,NA,"umolO2/min/g",0.0901959050102455
"fish16_opposite_background",NA,1,99.5477855165322,-0.0303028623178404,1,2714.96322514937,28,94,430.617,760.626,86.474,76.493,-0.0303028623178404,NA,NA,-0.0303028623178404,"%Air","sec",0.175,NA,28,24,1.013253,-0.710891054525537,NA,"umolO2/min/g",-0.710891054525537
"fish17_acclimation_background",NA,1,97.6033643021006,0.00253465949800922,0.952,1426.35657923538,1,56,848.268,1123.279,99.77,100.478,0.00253465949800922,NA,NA,0.00253465949800922,"%Air","sec",0.175,NA,28,10,1.013253,0.0784845861282539,NA,"umolO2/min/g",0.0784845861282539
"fish17_opposite_background",NA,3,98.6727783754618,-0.0211977317641906,0.997,416.111074038543,53,92,555.619,750.624,86.892,82.826,-0.0211977317641906,NA,NA,-0.0211977317641906,"%Air","sec",0.175,NA,28,24,1.013253,-0.497288927010804,NA,"umolO2/min/g",-0.497288927010804
"fish18_acclimation_background",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fish18_opposite_background",NA,1,94.4332498062769,-0.0111630914767499,0.998,1649.22448191808,15,86,365.625,720.629,90.301,86.411,-0.0111630914767499,NA,NA,-0.0111630914767499,"%Air","sec",0.175,NA,11,24,1.013253,-0.288692856310089,NA,"umolO2/min/g",-0.288692856310089
"fish19_acclimation_background",NA,1,111.035424714151,-0.0148040520983183,0.999,2068.32086568477,29,96,1038.273,1373.285,95.641,90.709,-0.0148040520983183,NA,NA,-0.0148040520983183,"%Air","sec",0.175,NA,28,24,1.013253,-0.347296176085274,NA,"umolO2/min/g",-0.347296176085274
"fish19_opposite_background",NA,1,103.336497604668,-0.00193423221352501,0.953,2263.16473581427,1,62,1445.638,1750.642,100.551,99.932,-0.00193423221352501,NA,NA,-0.00193423221352501,"%Air","sec",0.175,NA,28,10,1.013253,-0.0598926265534599,NA,"umolO2/min/g",-0.0598926265534599
"fish20_acclimation_background",NA,1,107.037679029982,-0.0103496274801937,0.998,3976.34641764363,28,95,1033.273,1368.282,96.287,92.924,-0.0103496274801937,NA,NA,-0.0103496274801937,"%Air","sec",0.175,NA,28,24,1.013253,-0.242797446530646,NA,"umolO2/min/g",-0.242797446530646
"fish20_opposite_background",NA,3,103.084248143675,-0.0017182731058099,0.904,976.370633682049,5,39,1465.641,1635.642,100.568,100.306,-0.0017182731058099,NA,NA,-0.0017182731058099,"%Air","sec",0.175,NA,28,10,1.013253,-0.0532055503592178,NA,"umolO2/min/g",-0.0532055503592178
"fish21_acclimation_background",NA,3,104.834985134198,-0.00457537783975952,0.989,1020.93484236465,18,99,983.273,1388.283,100.389,98.432,-0.00457537783975952,NA,NA,-0.00457537783975952,"%Air","sec",0.175,NA,11,24,1.013253,-0.11832554628878,NA,"umolO2/min/g",-0.11832554628878
"fish21_opposite_background",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fish22_acclimation_background",NA,2,104.741189617714,-0.00535675234034547,0.964,649.022142014552,51,90,1148.276,1343.28,98.565,97.608,-0.00535675234034547,NA,NA,-0.00535675234034547,"%Air","sec",0.175,NA,11,24,1.013253,-0.138532962566955,NA,"umolO2/min/g",-0.138532962566955
"fish22_opposite_background",NA,1,101.331467741564,-0.000965019915759644,0.785,2659.81435020098,4,57,1460.642,1725.644,99.932,99.618,-0.000965019915759644,NA,NA,-0.000965019915759644,"%Air","sec",0.175,NA,11,10,1.013253,-0.0332864775776244,NA,"umolO2/min/g",-0.0332864775776244
