fish_ID,rep,rank,intercept_b0,slope_b1,rsq,density,row,endrow,time,endtime,oxy,endoxy,rate,adjustment,rate.adjusted,rate.input,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output
fish16_acclimation_mmr,NA,1,121.4465992,-0.038400255,0.999,109.6267539,2,36,553.855,723.768,100.235,93.752,-0.038400255,NA,NA,-0.038400255,%Air,sec,0.175,0.008782,NA,28,10,1.013253,-1.18904655,-0.135395872,NA,umolO2/min/g,-0.135395872
fish16_opposite_mmr,NA,1,495.8126766,-0.106940589,0.996,14.64506183,44,81,3714.377,3899.386,97.421,79.211,-0.106940589,NA,NA,-0.106940589,%Air,sec,0.175,0.008782,NA,28,24,1.013253,-2.508776471,-0.285672566,NA,umolO2/min/g,-0.285672566
fish17_acclimation_mmr,NA,2,122.09279,-0.021578105,0.998,165.3591671,11,71,1048.78,1353.79,99.434,93.031,-0.021578105,NA,NA,-0.021578105,%Air,sec,0.175,0.006958,NA,28,10,1.013253,-0.66815626,-0.096027057,NA,umolO2/min/g,-0.096027057
fish17_opposite_mmr,NA,1,317.0327813,-0.051881636,0.998,40.97944165,11,41,4299.537,4449.614,93.867,86.301,-0.051881636,NA,NA,-0.051881636,%Air,sec,0.175,0.006958,NA,28,24,1.013253,-1.217119058,-0.174923693,NA,umolO2/min/g,-0.174923693
fish18_acclimation_mmr,NA,3,148.583518,-0.029204497,0.997,102.7862601,9,55,1668.712,1898.719,99.756,93.226,-0.029204497,NA,NA,-0.029204497,%Air,sec,0.175,0.006566,NA,11,10,1.013253,-1.007352102,-0.153419449,NA,umolO2/min/g,-0.153419449
fish18_opposite_mmr,NA,9,383.7353374,-0.058773167,0.96,2.417745823,43,53,4909.628,4959.629,94.82,92.273,-0.058773167,NA,NA,-0.058773167,%Air,sec,0.175,0.006566,NA,11,24,1.013253,-1.519954717,-0.231488687,NA,umolO2/min/g,-0.231488687
fish19_acclimation_mmr,NA,1,238.3188165,-0.058218479,0.999,32.17912183,53,91,2513.91,2703.827,92.071,81.124,-0.058218479,NA,NA,-0.058218479,%Air,sec,0.175,0.006399,NA,28,24,1.013253,-1.365778426,-0.213436229,NA,umolO2/min/g,-0.213436229
fish19_opposite_mmr,NA,1,109.3909717,-0.015539285,0.999,308.5438903,17,77,579.402,879.405,100.418,95.778,-0.015539285,NA,NA,-0.015539285,%Air,sec,0.175,0.006399,NA,28,10,1.013253,-0.481166942,-0.075194084,NA,umolO2/min/g,-0.075194084
fish20_acclimation_mmr,NA,3,282.2032052,-0.060031287,0.998,125.3288646,46,79,3229.013,3393.925,88.265,78.532,-0.060031287,NA,NA,-0.060031287,%Air,sec,0.175,0.006564,NA,28,24,1.013253,-1.408306079,-0.214549982,NA,umolO2/min/g,-0.214549982
fish20_opposite_mmr,NA,1,120.0129764,-0.014923298,0.997,429.4282464,96,144,1674.421,1914.343,95.086,91.552,-0.014923298,NA,NA,-0.014923298,%Air,sec,0.175,0.006564,NA,28,10,1.013253,-0.462093171,-0.070398106,NA,umolO2/min/g,-0.070398106
fish21_acclimation_mmr,NA,1,321.543135,-0.055453683,0.998,167.9286484,8,41,4039.047,4204.053,97.459,88.384,-0.055453683,NA,NA,-0.055453683,%Air,sec,0.175,0.006421,NA,11,24,1.013253,-1.434108308,-0.223346567,NA,umolO2/min/g,-0.223346567
fish21_opposite_mmr,NA,1,130.8923774,-0.015245148,0.998,821.9187333,30,79,2144.348,2389.351,98.205,94.491,-0.015245148,NA,NA,-0.015245148,%Air,sec,0.175,0.006421,NA,11,10,1.013253,-0.525851608,-0.081895594,NA,umolO2/min/g,-0.081895594
fish22_acclimation_mmr,NA,1,240.6231424,-0.02897837,0.997,136.9853659,20,47,4849.07,4984.075,100.014,96.172,-0.02897837,NA,NA,-0.02897837,%Air,sec,0.175,0.005221,NA,11,24,1.013253,-0.749420398,-0.143539628,NA,umolO2/min/g,-0.143539628
fish22_opposite_mmr,NA,3,113.0374202,-0.004692114,0.973,96.30004424,58,95,2884.362,3069.366,99.482,98.546,-0.004692114,NA,NA,-0.004692114,%Air,sec,0.175,0.005221,NA,11,10,1.013253,-0.161845304,-0.030998909,NA,umolO2/min/g,-0.030998909
