fish_ID,rep,rank,intercept_b0,slope_b1,rsq,density,row,endrow,time,endtime,oxy,endoxy,rate,adjustment,rate.adjusted,rate.input,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output
fish23_acclimation,8,1,254.2223836,-0.005772469,0.986,2133.821986,1247,1295,26229.094,26469.101,102.848,101.417,-0.005772469,NA,NA,-0.005772469,%Air,sec,0.175,0.007145,NA,28,10,1.013253,-0.178741886,-0.025016359,NA,umolO2/min/g,-0.025016359
fish23_opposite,10,1,1101.54578,-0.035685007,0.991,680.7617885,1626,1645,28124.519,28219.52,97.966,94.633,-0.035685007,NA,NA,-0.035685007,%Air,sec,0.175,0.007145,NA,28,24,1.013253,-0.837153668,-0.117166364,NA,umolO2/min/g,-0.117166364
fish24_acclimation,10,1,190.6689489,-0.003279201,0.934,421.700798,1571,1618,27849.214,28084.218,99.622,98.569,-0.003279201,NA,NA,-0.003279201,%Air,sec,0.175,0.008992,NA,11,10,1.013253,-0.11310962,-0.012578917,NA,umolO2/min/g,-0.012578917
fish24_opposite,5,1,984.9380644,-0.037628439,0.996,86.84636736,735,755,23669.445,23769.445,94.217,90.506,-0.037628439,NA,NA,-0.037628439,%Air,sec,0.175,0.008992,NA,11,24,1.013253,-0.973123047,-0.108220979,NA,umolO2/min/g,-0.108220979
fish25_acclimation,8,1,186.4691341,-0.003291451,0.979,3967.901313,1236,1299,26174.092,26489.1,100.286,99.215,-0.003291451,NA,NA,-0.003291451,%Air,sec,0.175,0.007287,NA,11,10,1.013253,-0.113532179,-0.015580099,NA,umolO2/min/g,-0.015580099
fish25_opposite,1,1,655.2069775,-0.027636879,0.979,1228.025449,27,47,20129.39,20229.393,98.912,96.098,-0.027636879,NA,NA,-0.027636879,%Air,sec,0.175,0.007287,NA,11,24,1.013253,-0.714727605,-0.098082559,NA,umolO2/min/g,-0.098082559
fish26_acclimation,5,1,1157.004898,-0.044857946,0.998,41.70196103,740,769,23694.052,23839.052,93.836,87.519,-0.044857946,NA,NA,-0.044857946,%Air,sec,0.175,0.006203,NA,28,24,1.013253,-1.052346541,-0.169651224,NA,umolO2/min/g,-0.169651224
fish26_opposite,1,1,169.4077957,-0.003501056,0.955,1032.993951,94,144,20464.396,20714.4,97.827,96.771,-0.003501056,NA,NA,-0.003501056,%Air,sec,0.175,0.006203,NA,28,10,1.013253,-0.10840862,-0.017476805,NA,umolO2/min/g,-0.017476805
fish27_acclimation,5,1,1264.218623,-0.049211843,0.994,23.16773424,718,741,23584.047,23699.052,103.193,97.896,-0.049211843,NA,NA,-0.049211843,%Air,sec,0.175,0.007224,NA,28,24,1.013253,-1.154486938,-0.159812699,NA,umolO2/min/g,-0.159812699
fish27_opposite,1,1,194.3891028,-0.004761989,0.991,12096.9141,55,138,20269.394,20684.401,97.891,95.897,-0.004761989,NA,NA,-0.004761989,%Air,sec,0.175,0.007224,NA,28,10,1.013253,-0.147452837,-0.020411522,NA,umolO2/min/g,-0.020411522
fish28_acclimation,1,1,625.1808885,-0.026043933,0.994,57.18870691,36,59,20174.07,20289.069,99.613,96.792,-0.026043933,NA,NA,-0.026043933,%Air,sec,0.175,0.006314,NA,11,24,1.013253,-0.673531819,-0.106672762,NA,umolO2/min/g,-0.106672762
fish28_opposite,3,1,178.346739,-0.00365175,0.98,872.878082,384,464,21914.424,22314.428,98.295,96.905,-0.00365175,NA,NA,-0.00365175,%Air,sec,0.175,0.006314,NA,11,10,1.013253,-0.125959997,-0.019949318,NA,umolO2/min/g,-0.019949318
fish29_acclimation,5,1,769.0873166,-0.028381613,0.995,31.17516194,721,741,23599.048,23699.052,99.322,96.427,-0.028381613,NA,NA,-0.028381613,%Air,sec,0.175,0.00689,NA,11,24,1.013253,-0.733987433,-0.106529381,NA,umolO2/min/g,-0.106529381
fish29_opposite,12,1,188.9139398,-0.003007557,0.945,1901.103945,1925,1998,29619.548,29984.554,99.712,98.736,-0.003007557,NA,NA,-0.003007557,%Air,sec,0.175,0.00689,NA,11,10,1.013253,-0.1037398,-0.015056575,NA,umolO2/min/g,-0.015056575
