#--- Experiment --------------------------------------------------------------------------																																																																																																								
#SGRM_Resp_May13_RMR																																																																																																								
#																																																																																																								
#--- System ------------------------------------------------------------------------------																																																																																																								
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																																																																																																								
#LITTLELAB1																																																																																																								
#--- Instrument --------------------------------------------------------------------------																																																																																																								
#Device: FireSting-O2 [B] FSO2-C4 SN:24E144015D64A6C5 Firmware:4.11 Build:001																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B Ch.1] - Oxygen Sensor - XA7-520-212 																																																																																																								
#--- Settings & Calibration --------------------------------------------------------------																																																																																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																																																				
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Fixed Temperature ('C)	10.000000	2	Internal Pressure Sensor	1013.000000	7.500000																																																																																				
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																																																				
#	2025-05-11	2000-12-31	23.644135	52.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.690979	10.000000	100.000000	20.000000	20.950000																																																																																				
#--- Temperature Compensation Channel ----------------------------------------------------																																																																																																								
#Compensation Channel [B Int. T1] - Fixed Temperature																																																																																																								
#Settings: n/a																																																																																																								
#Calibration: n/a																																																																																																								
#--- Pressure Compensation Channel -------------------------------------------------------																																																																																																								
#Compensation Channel [B P1] - Internal Pressure Sensor																																																																																																								
#Settings: n/a																																																																																																								
#Calibration: n/a																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B Ch.2] - Oxygen Sensor - XA7-520-212 																																																																																																								
#--- Settings & Calibration --------------------------------------------------------------																																																																																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																																																				
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Fixed Temperature ('C)	10.000000	2	Internal Pressure Sensor	1013.000000	7.500000																																																																																				
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																																																				
#	2025-05-11	2000-12-31	23.095800	52.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.690979	10.000000	100.000000	20.000000	20.950000																																																																																				
#--- Temperature Compensation Channel ----------------------------------------------------																																																																																																								
#Compensation Channel [B Int. T2] - Fixed Temperature																																																																																																								
#Settings: n/a																																																																																																								
#Calibration: n/a																																																																																																								
#--- Pressure Compensation Channel -------------------------------------------------------																																																																																																								
#Compensation Channel [B P1] - Internal Pressure Sensor																																																																																																								
#Settings: n/a																																																																																																								
#Calibration: n/a																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B Ch.3] - Oxygen Sensor - XA7-520-212 																																																																																																								
#--- Settings & Calibration --------------------------------------------------------------																																																																																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																																																				
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Fixed Temperature ('C)	10.000000	2	Internal Pressure Sensor	1013.000000	7.500000																																																																																				
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																																																				
#	2025-05-11	2000-12-31	22.863268	52.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.685974	10.000000	100.000000	20.000000	20.950000																																																																																				
#--- Temperature Compensation Channel ----------------------------------------------------																																																																																																								
#Compensation Channel [B Int. T3] - Fixed Temperature																																																																																																								
#Settings: n/a																																																																																																								
#Calibration: n/a																																																																																																								
#--- Pressure Compensation Channel -------------------------------------------------------																																																																																																								
#Compensation Channel [B P1] - Internal Pressure Sensor																																																																																																								
#Settings: n/a																																																																																																								
#Calibration: n/a																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B Ch.4] - Oxygen Sensor - XA7-520-212 																																																																																																								
#--- Settings & Calibration --------------------------------------------------------------																																																																																																								
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																																																				
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Fixed Temperature ('C)	10.000000	2	Internal Pressure Sensor	1013.000000	7.500000																																																																																				
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																																																				
#	2025-05-11	2000-12-31	22.990868	52.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.609009	10.000000	100.000000	20.000000	20.950000																																																																																				
#--- Temperature Compensation Channel ----------------------------------------------------																																																																																																								
#Compensation Channel [B Int. T4] - Fixed Temperature																																																																																																								
#Settings: n/a																																																																																																								
#Calibration: n/a																																																																																																								
#--- Pressure Compensation Channel -------------------------------------------------------																																																																																																								
#Compensation Channel [B P1] - Internal Pressure Sensor																																																																																																								
#Settings: n/a																																																																																																								
#Calibration: n/a																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B Int. T1] - Internal Temperature Sensor																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B Int. T2] - Internal Temperature Sensor																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B Int. T3] - Internal Temperature Sensor																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B Int. T4] - Internal Temperature Sensor																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B P1] - Internal Pressure Sensor																																																																																																								
#--- Channel -----------------------------------------------------------------------------																																																																																																								
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = -1.78°C																																																																																																								
#--- Measurement Data --------------------------------------------------------------------																																																																																																								
Date [B Ch.1 Main]	Time [B Ch.1 Main]	 dt (s) [B Ch.1 Main]	Oxygen (%air sat.) [B Ch.1 Main]	dphi (°) [B Ch.1 Main]	Signal Intensity (mV) [B Ch.1 Main]	Ambient Light (mV) [B Ch.1 Main]	Status [B Ch.1 Main]	Date [B Ch.1 CompT]	Time [B Ch.1 CompT]	 dt (s) [B Ch.1 CompT]	Fixed Temp (°C) [B Ch.1 CompT]	Status [B Ch.1 CompT]	Date [B Ch.1 CompP]	Time [B Ch.1 CompP]	 dt (s) [B Ch.1 CompP]	Pressure (mbar) [B Ch.1 CompP]	Status [B Ch.1 CompP]	Date [B Ch.2 Main]	Time [B Ch.2 Main]	 dt (s) [B Ch.2 Main]	Oxygen (%air sat.) [B Ch.2 Main]	dphi (°) [B Ch.2 Main]	Signal Intensity (mV) [B Ch.2 Main]	Ambient Light (mV) [B Ch.2 Main]	Status [B Ch.2 Main]	Date [B Ch.2 CompT]	Time [B Ch.2 CompT]	 dt (s) [B Ch.2 CompT]	Fixed Temp (°C) [B Ch.2 CompT]	Status [B Ch.2 CompT]	Date [B Ch.2 CompP]	Time [B Ch.2 CompP]	 dt (s) [B Ch.2 CompP]	Pressure (mbar) [B Ch.2 CompP]	Status [B Ch.2 CompP]	Date [B Ch.3 Main]	Time [B Ch.3 Main]	 dt (s) [B Ch.3 Main]	Oxygen (%air sat.) [B Ch.3 Main]	dphi (°) [B Ch.3 Main]	Signal Intensity (mV) [B Ch.3 Main]	Ambient Light (mV) [B Ch.3 Main]	Status [B Ch.3 Main]	Date [B Ch.3 CompT]	Time [B Ch.3 CompT]	 dt (s) [B Ch.3 CompT]	Fixed Temp (°C) [B Ch.3 CompT]	Status [B Ch.3 CompT]	Date [B Ch.3 CompP]	Time [B Ch.3 CompP]	 dt (s) [B Ch.3 CompP]	Pressure (mbar) [B Ch.3 CompP]	Status [B Ch.3 CompP]	Date [B Ch.4 Main]	Time [B Ch.4 Main]	 dt (s) [B Ch.4 Main]	Oxygen (%air sat.) [B Ch.4 Main]	dphi (°) [B Ch.4 Main]	Signal Intensity (mV) [B Ch.4 Main]	Ambient Light (mV) [B Ch.4 Main]	Status [B Ch.4 Main]	Date [B Ch.4 CompT]	Time [B Ch.4 CompT]	 dt (s) [B Ch.4 CompT]	Fixed Temp (°C) [B Ch.4 CompT]	Status [B Ch.4 CompT]	Date [B Ch.4 CompP]	Time [B Ch.4 CompP]	 dt (s) [B Ch.4 CompP]	Pressure (mbar) [B Ch.4 CompP]	Status [B Ch.4 CompP]	Date [B Int. T1]	Time [B Int. T1]	 dt (s) [B Int. T1]	Case Temp. (°C) [B Int. T1]	Status [B Int. T1]	Date [B Int. T2]	Time [B Int. T2]	 dt (s) [B Int. T2]	Case Temp. (°C) [B Int. T2]	Status [B Int. T2]	Date [B Int. T3]	Time [B Int. T3]	 dt (s) [B Int. T3]	Case Temp. (°C) [B Int. T3]	Status [B Int. T3]	Date [B Int. T4]	Time [B Int. T4]	 dt (s) [B Int. T4]	Case Temp. (°C) [B Int. T4]	Status [B Int. T4]	Date [B P1]	Time [B P1]	 dt (s) [B P1]	Pressure (mbar) [B P1]	Status [B P1]	Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]	Date [Comment]	Time [Comment]	Comment
13-05-2025	20:42:17.732	0.394	98.903	23.935	248	0	OK	13-05-2025	20:42:17.732	0.394	10.000	OK	13-05-2025	20:42:17.732	0.394	1004	OK	13-05-2025	20:42:17.376	0.038	98.270	23.460	234	0	OK	13-05-2025	20:42:17.376	0.038	10.000	OK	13-05-2025	20:42:17.376	0.038	1004	OK	13-05-2025	20:42:17.515	0.177	99.232	23.113	259	0	OK	13-05-2025	20:42:17.515	0.177	10.000	OK	13-05-2025	20:42:17.515	0.177	1004	OK	13-05-2025	20:42:17.626	0.288	99.603	23.197	135	0	OK	13-05-2025	20:42:17.626	0.288	10.000	OK	13-05-2025	20:42:17.626	0.288	1004	OK	13-05-2025	20:42:17.732	0.394	10.000	OK	13-05-2025	20:42:17.376	0.038	10.000	OK	13-05-2025	20:42:17.515	0.177	10.000	OK	13-05-2025	20:42:17.626	0.288	10.000	OK	13-05-2025	20:42:17.376	0.038	1004	OK	13-05-2025	20:42:17.361	0.023	9.198	OK			
13-05-2025	20:42:18.750	1.412	98.955	23.929	248	0	OK	13-05-2025	20:42:18.750	1.412	10.000	OK	13-05-2025	20:42:18.750	1.412	1004	OK	13-05-2025	20:42:18.377	1.039	98.263	23.461	234	0	OK	13-05-2025	20:42:18.377	1.039	10.000	OK	13-05-2025	20:42:18.377	1.039	1004	OK	13-05-2025	20:42:18.515	1.177	99.227	23.114	259	0	OK	13-05-2025	20:42:18.515	1.177	10.000	OK	13-05-2025	20:42:18.515	1.177	1004	OK	13-05-2025	20:42:18.625	1.287	99.717	23.184	135	0	OK	13-05-2025	20:42:18.625	1.287	10.000	OK	13-05-2025	20:42:18.625	1.287	1004	OK	13-05-2025	20:42:18.750	1.412	10.000	OK	13-05-2025	20:42:18.377	1.039	10.000	OK	13-05-2025	20:42:18.515	1.177	10.000	OK	13-05-2025	20:42:18.625	1.287	10.000	OK	13-05-2025	20:42:17.515	0.177	1004	OK	13-05-2025	20:42:18.361	1.024	9.200	OK			
13-05-2025	20:42:19.732	2.394	98.956	23.929	248	0	OK	13-05-2025	20:42:19.732	2.394	10.000	OK	13-05-2025	20:42:19.732	2.394	1004	OK	13-05-2025	20:42:19.378	2.041	98.232	23.465	234	0	OK	13-05-2025	20:42:19.378	2.041	10.000	OK	13-05-2025	20:42:19.378	2.041	1004	OK	13-05-2025	20:42:19.516	2.178	99.227	23.114	259	0	OK	13-05-2025	20:42:19.516	2.178	10.000	OK	13-05-2025	20:42:19.516	2.178	1004	OK	13-05-2025	20:42:19.625	2.287	99.722	23.183	135	0	OK	13-05-2025	20:42:19.625	2.287	10.000	OK	13-05-2025	20:42:19.625	2.287	1004	OK	13-05-2025	20:42:19.732	2.394	10.000	OK	13-05-2025	20:42:19.378	2.041	10.000	OK	13-05-2025	20:42:19.516	2.178	10.000	OK	13-05-2025	20:42:19.625	2.287	10.000	OK	13-05-2025	20:42:17.626	0.288	1004	OK	13-05-2025	20:42:19.362	2.024	9.204	OK			
13-05-2025	20:42:20.748	3.410	99.005	23.923	248	0	OK	13-05-2025	20:42:20.748	3.410	10.000	OK	13-05-2025	20:42:20.748	3.410	1004	OK	13-05-2025	20:42:20.378	3.040	98.296	23.457	234	0	OK	13-05-2025	20:42:20.378	3.040	10.000	OK	13-05-2025	20:42:20.378	3.040	1004	OK	13-05-2025	20:42:20.515	3.178	99.292	23.106	259	0	OK	13-05-2025	20:42:20.515	3.178	10.000	OK	13-05-2025	20:42:20.515	3.178	1004	OK	13-05-2025	20:42:20.627	3.289	99.651	23.191	135	0	OK	13-05-2025	20:42:20.627	3.289	10.000	OK	13-05-2025	20:42:20.627	3.289	1004	OK	13-05-2025	20:42:20.748	3.410	10.000	OK	13-05-2025	20:42:20.378	3.040	10.000	OK	13-05-2025	20:42:20.515	3.178	10.000	OK	13-05-2025	20:42:20.627	3.289	10.000	OK	13-05-2025	20:42:17.732	0.394	1004	OK	13-05-2025	20:42:20.364	3.026	9.206	OK			
13-05-2025	20:42:21.731	4.394	98.962	23.928	248	0	OK	13-05-2025	20:42:21.731	4.394	10.000	OK	13-05-2025	20:42:21.731	4.394	1004	OK	13-05-2025	20:42:21.378	4.040	98.346	23.451	234	0	OK	13-05-2025	20:42:21.378	4.040	10.000	OK	13-05-2025	20:42:21.378	4.040	1004	OK	13-05-2025	20:42:21.515	4.178	99.300	23.105	260	0	OK	13-05-2025	20:42:21.515	4.178	10.000	OK	13-05-2025	20:42:21.515	4.178	1004	OK	13-05-2025	20:42:21.625	4.287	99.628	23.195	136	0	OK	13-05-2025	20:42:21.625	4.287	10.000	OK	13-05-2025	20:42:21.625	4.287	1004	OK	13-05-2025	20:42:21.731	4.394	10.000	OK	13-05-2025	20:42:21.378	4.040	10.000	OK	13-05-2025	20:42:21.515	4.178	10.000	OK	13-05-2025	20:42:21.625	4.287	10.000	OK	13-05-2025	20:42:18.377	1.039	1004	OK	13-05-2025	20:42:21.363	4.025	9.208	OK			
13-05-2025	20:42:22.734	5.396	98.963	23.928	248	0	OK	13-05-2025	20:42:22.734	5.396	10.000	OK	13-05-2025	20:42:22.734	5.396	1004	OK	13-05-2025	20:42:22.378	5.040	98.350	23.450	234	0	OK	13-05-2025	20:42:22.378	5.040	10.000	OK	13-05-2025	20:42:22.378	5.040	1004	OK	13-05-2025	20:42:22.518	5.180	99.310	23.103	257	0	OK	13-05-2025	20:42:22.518	5.180	10.000	OK	13-05-2025	20:42:22.518	5.180	1004	OK	13-05-2025	20:42:22.625	5.287	99.640	23.193	136	0	OK	13-05-2025	20:42:22.625	5.287	10.000	OK	13-05-2025	20:42:22.625	5.287	1004	OK	13-05-2025	20:42:22.734	5.396	10.000	OK	13-05-2025	20:42:22.378	5.040	10.000	OK	13-05-2025	20:42:22.518	5.180	10.000	OK	13-05-2025	20:42:22.625	5.287	10.000	OK	13-05-2025	20:42:18.515	1.177	1004	OK	13-05-2025	20:42:22.363	5.025	9.210	OK			
13-05-2025	20:42:23.731	6.394	98.938	23.931	248	0	OK	13-05-2025	20:42:23.731	6.394	10.000	OK	13-05-2025	20:42:23.731	6.394	1004	OK	13-05-2025	20:42:23.379	6.041	98.366	23.449	234	0	OK	13-05-2025	20:42:23.379	6.041	10.000	OK	13-05-2025	20:42:23.379	6.041	1004	OK	13-05-2025	20:42:23.516	6.179	99.323	23.102	257	0	OK	13-05-2025	20:42:23.516	6.179	10.000	OK	13-05-2025	20:42:23.516	6.179	1004	OK	13-05-2025	20:42:23.626	6.288	99.694	23.186	136	0	OK	13-05-2025	20:42:23.626	6.288	10.000	OK	13-05-2025	20:42:23.626	6.288	1004	OK	13-05-2025	20:42:23.731	6.394	10.000	OK	13-05-2025	20:42:23.379	6.041	10.000	OK	13-05-2025	20:42:23.516	6.179	10.000	OK	13-05-2025	20:42:23.626	6.288	10.000	OK	13-05-2025	20:42:18.625	1.287	1004	OK	13-05-2025	20:42:23.363	6.025	9.211	OK			
13-05-2025	20:42:24.733	7.395	98.938	23.931	248	0	OK	13-05-2025	20:42:24.733	7.395	10.000	OK	13-05-2025	20:42:24.733	7.395	1004	OK	13-05-2025	20:42:24.380	7.042	98.386	23.446	234	0	OK	13-05-2025	20:42:24.380	7.042	10.000	OK	13-05-2025	20:42:24.380	7.042	1004	OK	13-05-2025	20:42:24.516	7.179	99.220	23.115	257	0	OK	13-05-2025	20:42:24.516	7.179	10.000	OK	13-05-2025	20:42:24.516	7.179	1004	OK	13-05-2025	20:42:24.626	7.288	99.658	23.191	136	0	OK	13-05-2025	20:42:24.626	7.288	10.000	OK	13-05-2025	20:42:24.626	7.288	1004	OK	13-05-2025	20:42:24.733	7.395	10.000	OK	13-05-2025	20:42:24.380	7.042	10.000	OK	13-05-2025	20:42:24.516	7.179	10.000	OK	13-05-2025	20:42:24.626	7.288	10.000	OK	13-05-2025	20:42:18.750	1.412	1004	OK	13-05-2025	20:42:24.364	7.026	9.213	OK			
13-05-2025	20:42:25.731	8.393	98.994	23.924	248	0	OK	13-05-2025	20:42:25.731	8.393	10.000	OK	13-05-2025	20:42:25.731	8.393	1004	OK	13-05-2025	20:42:25.378	8.040	98.395	23.445	234	0	OK	13-05-2025	20:42:25.378	8.040	10.000	OK	13-05-2025	20:42:25.378	8.040	1004	OK	13-05-2025	20:42:25.516	8.178	99.311	23.104	257	0	OK	13-05-2025	20:42:25.516	8.178	10.000	OK	13-05-2025	20:42:25.516	8.178	1004	OK	13-05-2025	20:42:25.626	8.288	99.655	23.191	136	0	OK	13-05-2025	20:42:25.626	8.288	10.000	OK	13-05-2025	20:42:25.626	8.288	1004	OK	13-05-2025	20:42:25.731	8.393	10.000	OK	13-05-2025	20:42:25.378	8.040	10.000	OK	13-05-2025	20:42:25.516	8.178	10.000	OK	13-05-2025	20:42:25.626	8.288	10.000	OK	13-05-2025	20:42:19.378	2.041	1004	OK	13-05-2025	20:42:25.362	8.024	9.216	OK			
13-05-2025	20:42:26.749	9.411	99.011	23.922	248	0	OK	13-05-2025	20:42:26.749	9.411	10.000	OK	13-05-2025	20:42:26.749	9.411	1004	OK	13-05-2025	20:42:26.379	9.041	98.347	23.452	234	0	OK	13-05-2025	20:42:26.379	9.041	10.000	OK	13-05-2025	20:42:26.379	9.041	1004	OK	13-05-2025	20:42:26.516	9.178	99.287	23.106	256	0	OK	13-05-2025	20:42:26.516	9.178	10.000	OK	13-05-2025	20:42:26.516	9.178	1004	OK	13-05-2025	20:42:26.628	9.290	99.639	23.193	136	0	OK	13-05-2025	20:42:26.628	9.290	10.000	OK	13-05-2025	20:42:26.628	9.290	1004	OK	13-05-2025	20:42:26.749	9.411	10.000	OK	13-05-2025	20:42:26.379	9.041	10.000	OK	13-05-2025	20:42:26.516	9.178	10.000	OK	13-05-2025	20:42:26.628	9.290	10.000	OK	13-05-2025	20:42:19.516	2.178	1004	OK	13-05-2025	20:42:26.363	9.025	9.215	OK			
13-05-2025	20:42:27.737	10.399	98.978	23.926	248	0	OK	13-05-2025	20:42:27.737	10.399	10.000	OK	13-05-2025	20:42:27.737	10.399	1004	OK	13-05-2025	20:42:27.379	10.041	98.397	23.445	234	0	OK	13-05-2025	20:42:27.379	10.041	10.000	OK	13-05-2025	20:42:27.379	10.041	1004	OK	13-05-2025	20:42:27.516	10.178	99.421	23.091	256	0	OK	13-05-2025	20:42:27.516	10.178	10.000	OK	13-05-2025	20:42:27.516	10.178	1004	OK	13-05-2025	20:42:27.630	10.292	99.676	23.189	136	0	OK	13-05-2025	20:42:27.630	10.292	10.000	OK	13-05-2025	20:42:27.630	10.292	1004	OK	13-05-2025	20:42:27.737	10.399	10.000	OK	13-05-2025	20:42:27.379	10.041	10.000	OK	13-05-2025	20:42:27.516	10.178	10.000	OK	13-05-2025	20:42:27.630	10.292	10.000	OK	13-05-2025	20:42:19.625	2.287	1004	OK	13-05-2025	20:42:27.362	10.024	9.217	OK			
