fish#,group,acclimation_temperature,acclimation_salinity,assay_temperature,rmr_time,rmr_endtime,rmr_rate_abs,mmr_time,mmr_endtime,mmr_rate_abs,background_time,background_endtime,background_rate_abs,blank_time,blank_endtime,blank_rate_abs
4,1,10,28,10,24409.792,24599.807,-0.119320938,689.311,884.327,-0.998146808,NA,NA,0,0,0,0
4,1,10,28,24,22007.611,22077.614,-0.891944719,2186.148,2276.172,-1.700944011,407.457,527.466,-0.158265439,1413.991,2113.904,-0.063857227
5,1,10,28,10,24434.795,24634.809,-0.170834736,1344.353,1464.361,-0.885132468,NA,NA,0,0,0,0
5,1,10,28,24,23702.733,23777.735,-0.768469843,3056.226,3221.237,-1.574894024,412.457,542.467,-0.164317365,1413.991,2113.904,-0.063857227
6,1,10,11,10,28615.091,28820.12,-0.184822271,2519.409,2714.419,-0.900692245,NA,NA,0,0,0,0
6,1,10,11,24,21997.612,22082.615,-0.899710877,4031.295,4131.31,-1.051648981,417.458,557.468,-0.131835509,3954.47,4419.523,-0.015023836
7,1,10,11,10,29215.137,29415.152,-0.205603154,1864.381,1949.381,-0.956186,NA,NA,0,0,0,0
7,1,10,11,24,24907.812,24977.819,-1.191266048,5396.37,5581.386,-1.571340132,512.462,577.468,-0.144903278,3954.47,4419.523,-0.015023836
9,2,10,28,10,20231.006,20436.022,-0.142849847,869.771,919.775,-1.11627425,1330.987,1415.992,-0.083987142,0,0,0
9,2,10,28,24,24881.299,24976.303,-0.865122235,2949.824,3074.83,-2.152696813,890.432,1075.442,-0.193046757,1413.991,2113.904,-0.063857227
10,2,10,28,10,28052.524,28282.539,-0.230396129,1504.807,1754.819,-1.083185013,1210.982,1425.993,-0.107391318,0,0,0
10,2,10,28,24,27266.46,27351.467,-1.271442817,3664.861,3824.875,-2.598178652,870.429,1140.451,-0.265817808,1413.991,2113.904,-0.063857227
11,2,10,11,10,29257.604,29442.613,-0.124624478,2514.86,2589.867,-1.712398074,1235.984,1425.993,-0.099470463,0,0,0
11,2,10,11,24,24886.299,24976.303,-0.857993825,4494.92,4524.922,-3.106824257,855.426,1200.462,-0.327373535,3954.47,4419.523,-0.015023836
12,2,10,11,10,21466.097,21666.101,-0.187354484,3169.923,3204.929,-1.030786247,1050.975,1400.992,-0.063435595,0,0,0
12,2,10,11,24,29661.654,29756.661,-0.759859274,4954.945,5029.95,-2.334178381,985.439,1230.466,-0.329270867,3954.47,4419.523,-0.015023836
13,2,24,28,24,24341.272,24476.285,-0.716351201,3819.967,3969.973,-1.30415334,600.954,805.966,-0.24712383,5560.058,5690.065,-0.064933237
13,2,24,28,10,28676.569,28871.582,-0.157389055,684.685,804.694,-0.536018831,1080.444,1380.481,-0.057096554,2604.818,2874.821,-0.050558517
14,2,24,11,24,27932.518,28067.522,-0.896246675,4169.985,4269.989,-1.721426739,625.954,835.967,-0.294170536,0,0,0
14,2,24,11,10,28651.569,28881.583,-0.118951297,1394.732,1679.745,-0.804714184,1110.449,1270.469,-0.050199229,0,0,0
15,2,24,11,24,29712.63,29892.644,-0.746603352,4515.003,4650.01,-1.964616761,635.955,870.967,-0.193457631,0,0,0
15,2,24,11,10,26231.392,26446.407,-0.078601477,1819.758,2179.783,-0.791847236,1085.446,1375.48,-0.051041985,0,0,0
16,3,10,28,10,28784.586,29099.6,-0.131986085,553.855,723.768,-1.18904655,NA,NA,0,0,0,0
16,3,10,28,24,23130.001,23280.002,-1.433088576,3714.377,3899.386,-2.508776471,430.617,760.626,-0.710891055,1413.991,2113.904,-0.063857227
17,3,10,28,10,28759.586,29049.599,-0.108553702,1048.78,1353.79,-0.66815626,NA,NA,0,0,0,0
17,3,10,28,24,29745.22,29895.217,-1.127829592,4299.537,4449.614,-1.217119058,555.619,750.624,-0.497288927,1413.991,2113.904,-0.063857227
18,3,10,11,10,23604.556,23929.563,-0.115570023,1668.712,1898.719,-1.007352102,NA,NA,0,0,0,0
18,3,10,11,24,29745.22,29895.217,-1.243299167,4909.628,4959.629,-1.519954717,365.625,720.629,-0.288692856,3954.47,4419.523,-0.015023836
19,3,24,28,24,21824.522,21949.518,-0.672808451,2513.91,2703.827,-1.365778426,1038.273,1373.285,-0.347296176,5560.058,5690.065,-0.064933237
19,3,24,28,10,24415.017,24790.029,-0.128767319,579.402,879.405,-0.481166942,1445.638,1750.642,-0.059892627,2604.818,2874.821,-0.050558517
20,3,24,28,24,22649.533,22829.537,-0.612806135,3229.013,3393.925,-1.408306079,1033.273,1368.282,-0.242797447,5560.058,5690.065,-0.064933237
20,3,24,28,10,23215.002,23435.005,-0.083361437,1674.421,1914.343,-0.462093171,1465.641,1635.642,-0.05320555,2604.818,2874.821,-0.050558517
21,3,24,11,24,21044.507,21149.51,-0.466697607,4039.047,4204.053,-1.434108308,983.273,1388.283,-0.118325546,0,0,0
21,3,24,11,10,23255.003,23580.007,-0.106114468,2144.348,2389.351,-0.525851608,NA,NA,0,0,0,0
22,3,24,11,24,24359.571,24454.569,-0.69160833,4849.07,4984.075,-0.749420398,1148.276,1343.28,-0.138532963,0,0,0
22,3,24,11,10,22029.873,22334.885,-0.122174976,2884.362,3069.366,-0.161845304,1460.642,1725.644,-0.033286478,0,0,0
23,4,10,28,10,26229.094,26469.101,-0.178741886,143.771,333.687,-0.869362977,NA,NA,0,0,0,0
23,4,10,28,24,28124.519,28219.52,-0.837153668,814.056,939.056,-2.21694128,765.201,1110.21,-0.228402632,1413.991,2113.904,-0.063857227
24,4,10,11,10,27849.214,28084.218,-0.11310962,1378.81,1538.81,-1.073020819,NA,NA,0,0,0,0
24,4,10,11,24,23669.445,23769.445,-0.973123047,2674.089,2819.089,-1.650339535,770.201,1390.219,-0.097823165,3954.47,4419.523,-0.015023836
25,4,10,11,10,26174.092,26489.1,-0.113532179,2398.827,2688.831,-0.790415807,NA,NA,0,0,0,0
25,4,10,11,24,20129.39,20229.393,-0.714727605,3784.097,3934.103,-2.086262553,1090.21,1375.217,-0.07880974,3954.47,4419.523,-0.015023836
26,4,24,28,24,23694.052,23839.052,-1.052346541,3603.86,3648.857,-2.031698101,350.026,550.034,-0.763918347,5560.058,5690.065,-0.064933237
26,4,24,28,10,20464.396,20714.4,-0.10840862,1084.058,1288.984,-0.667967733,NA,NA,0,2604.818,2874.821,-0.050558517
27,4,24,28,24,23584.047,23699.052,-1.154486938,4518.88,4728.879,-1.79422986,385.027,565.03,-0.72025119,5560.058,5690.065,-0.064933237
27,4,24,28,10,20269.394,20684.401,-0.147452837,1733.898,2238.907,-0.390936635,NA,NA,0,2604.818,2874.821,-0.050558517
28,4,24,11,24,20174.07,20289.069,-0.673531819,5223.9,5463.902,-1.506236425,375.028,555.031,-0.210991175,0,0,0
28,4,24,11,10,21914.424,22314.428,-0.125959997,2534.017,2704.085,-0.522300108,NA,NA,0,0,0,0
29,4,24,11,24,23599.048,23699.052,-0.733987433,5618.902,5728.9,-1.671433874,350.026,580.031,-0.217886409,0,0,0
29,4,24,11,10,29619.548,29984.554,-0.1037398,4174.109,4279.109,-1.001895449,NA,NA,0,0,0,0
30,5,10,28,10,25446.561,25691.561,-0.216757718,1561.137,1776.148,-0.813851995,777.202,997.308,-0.136285488,0,0,0
30,5,10,28,24,29008.263,29108.266,-0.672366366,6657.931,6857.94,-1.188682436,1203.121,1708.117,-0.108444487,1413.991,2113.904,-0.063857227
31,5,10,11,10,25426.557,25701.561,-0.105301255,3131.095,3286.089,-0.638564294,727.204,962.307,0,0,0,0
31,5,10,11,24,21017.995,21112.999,-0.54451762,7712.952,7817.952,-1.258268471,1148.122,1578.128,-0.108788702,3954.47,4419.523,-0.015023836
32,5,10,11,10,28601.516,29011.522,-0.167296173,4081.097,4286.097,-0.755162887,NA,NA,0,0,0,0
32,5,10,11,24,29018.263,29118.266,-0.54017303,8412.965,8502.97,-1.680244224,1358.125,1703.116,-0.098624088,3954.47,4419.523,-0.015023836
33,5,24,28,24,29466.529,29611.531,-0.581361932,1551.136,1736.145,-1.026773002,602.202,1042.307,-0.235901664,5560.058,5690.065,-0.064933237
33,5,24,28,10,22863.216,23248.299,-0.138756825,2602.67,2847.673,-0.539136688,NA,NA,0,2604.818,2874.821,-0.050558517
34,5,24,28,24,29451.529,29591.531,-0.646389953,5126.102,5261.119,-1.390307178,607.202,837.299,-0.23289059,5560.058,5690.065,-0.064933237
34,5,24,28,10,21152.999,21528.261,-0.102710186,4712.804,4912.89,-0.585996177,NA,NA,0,2604.818,2874.821,-0.050558517
35,5,24,11,24,29486.528,29616.529,-0.490310144,6286.117,6386.121,-1.166608987,562.202,977.321,-0.128831401,0,0,0
35,5,24,11,10,24533.243,24913.329,-0.101725839,3382.596,3757.857,-0.295623208,NA,NA,0,0,0,0
36,5,24,11,24,29456.529,29596.53,-0.53570108,7501.134,7641.14,-1.438057043,752.204,1022.309,-0.132118439,0,0,0
36,5,24,11,10,26163.293,26548.296,-0.118823674,4282.889,4407.8,-0.610578151,NA,NA,0,0,0,0
37,6,10,28,10,29620.474,29940.656,-0.234532008,4162.725,4284.748,-0.682681422,NA,NA,0,0,0,0
37,6,10,28,24,29458.363,29550.401,-0.899786488,4024.537,4095.55,-2.071220401,51201.064,51234.074,-0.311109204,1413.991,2113.904,-0.063857227
38,6,24,28,24,21850.913,21951.032,-1.151757152,2332.394,2407.479,-2.041525919,588.678,696.704,-0.334740024,5560.058,5690.065,-0.064933237
39,6,24,28,24,21845.913,21951.032,-1.020102783,1326.988,1466.173,-1.732268504,541.667,688.701,-0.343428732,5560.058,5690.065,-0.064933237
