fish#,group,acclimation_temperature,acclimation_salinity,assay_temperature,rmr_time,rmr_endtime,rmr_rate_abs,end_time,mmr_time,mmr_endtime,mmr_rate_abs,background_time,background_endtime,total_time,background_rate_abs,blank_time,blank_endtime,blank_rate_abs,b,rmr_background_rate_abs,mmr_background_rate_abs,mass_g
4,1,10,28,10,24409.792,24599.807,0.119320938,56147.14,689.311,884.327,0.998146808,1348.766,1753.784,57495.906,0.058025002,0,0,0,1.42E-06,0.024235223,6.76E-04,6.932
4,1,10,28,24,22007.611,22077.614,0.891944719,57850.52,2186.148,2276.172,1.700944011,407.457,527.466,58257.977,0.158265439,1413.991,2113.904,0.063857227,2.29E-06,0.097080112,0.065083423,6.932
5,1,10,28,10,24434.795,24634.809,0.170834736,56147.14,1344.353,1464.361,0.885132468,1328.764,1743.784,57475.904,0.059442012,0,0,0,1.45E-06,0.024851861,0.001351498,5.409
5,1,10,28,24,23702.733,23777.735,0.768469843,57850.52,3056.226,3221.237,1.574894024,412.457,542.467,58262.977,0.164317365,1413.991,2113.904,0.063857227,2.43E-06,0.10210262,0.066626425,5.409
6,1,10,11,10,28615.091,28820.12,0.184822271,56147.14,2519.409,2714.419,0.900692245,1348.766,1763.786,57495.906,0.081545359,0,0,0,1.97E-06,0.03978536,0.003440912,5.839
6,1,10,11,24,21997.612,22082.615,0.899710877,57850.52,4031.295,4131.31,1.051648981,417.458,557.468,58267.978,0.131835509,3954.47,4419.523,0.015023836,2.93E-06,0.052406795,0.015180116,5.839
7,1,10,11,10,29215.137,29415.152,0.205603154,56147.14,1864.381,1949.381,0.956186,1333.765,1758.784,57480.905,0.073678546,0,0,0,1.78E-06,0.036793107,0.00230847,8.597
7,1,10,11,24,24907.812,24977.819,1.191266048,57850.52,5396.37,5581.386,1.571340132,512.462,577.468,58362.982,0.144903278,3954.47,4419.523,0.015023836,3.24E-06,0.063173435,0.018265185,8.597
9,2,10,28,10,20231.006,20436.022,0.142849847,43313.54,869.771,919.775,1.11627425,1330.987,1415.992,44644.527,0.083987142,0,0,0,2.61E-06,0.037221357,0.001572393,6.843
9,2,10,28,24,24881.299,24976.303,0.865122235,61478.83,2949.824,3074.83,2.152696813,890.432,1075.442,62369.262,0.193046757,1413.991,2113.904,0.063857227,2.88E-06,0.111745129,0.066923243,6.843
10,2,10,28,10,28052.524,28282.539,0.230396129,43313.54,1504.807,1754.819,1.083185013,1210.982,1425.993,44524.522,0.107391318,0,0,0,3.31E-06,0.066379449,0.00345351,8.887
10,2,10,28,24,27266.46,27351.467,1.271442817,61478.83,3664.861,3824.875,2.598178652,870.429,1140.451,62349.259,0.265817808,1413.991,2113.904,0.063857227,4.36E-06,0.145028061,0.07067539,8.887
11,2,10,11,10,29257.604,29442.613,0.124624478,43313.54,2514.86,2589.867,1.712398074,1235.984,1425.993,44549.524,0.099470463,0,0,0,3.07E-06,0.064258271,0.005367516,6.597
11,2,10,11,24,24886.299,24976.303,0.857993825,61478.83,4494.92,4524.922,3.106824257,855.426,1200.462,62334.256,0.327373535,3954.47,4419.523,0.015023836,6.72E-06,0.117390784,0.017543367,6.597
12,2,10,11,10,21466.097,21666.101,0.187354484,43313.54,3169.923,3204.929,1.030786247,1050.975,1400.992,44364.515,0.063435595,0,0,0,2.00E-06,0.030206788,0.004404297,7.571
12,2,10,11,24,29661.654,29756.661,0.759859274,61478.83,4954.945,5029.95,2.334178381,985.439,1230.466,62464.269,0.329270867,3954.47,4419.523,0.015023836,6.74E-06,0.142591402,0.019707384,7.571
13,2,24,28,24,24341.272,24476.285,0.716351201,43313.54,3819.967,3969.973,1.30415334,600.954,805.966,43914.494,0.24712383,5560.058,5690.065,0.064933237,6.30E-06,0.150341846,0.057368672,5.714
13,2,24,28,10,28676.569,28871.582,0.157389055,61478.83,684.685,804.694,0.536018831,1080.444,1380.481,62559.274,0.057096554,2604.818,2874.821,0.050558517,1.57E-07,0.053396408,0.05034983,5.714
14,2,24,11,24,27932.518,28067.522,0.896246675,43313.54,4169.985,4269.989,1.721426739,625.954,835.967,43939.494,0.294170536,0,0,0,8.47E-06,0.178130677,0.024774518,8.035
14,2,24,11,10,28651.569,28881.583,0.118951297,61478.83,1394.732,1679.745,0.804714184,1110.449,1270.469,62589.279,0.050199229,0,0,0,1.13E-06,0.022674835,0.001092058,8.035
15,2,24,11,24,29712.63,29892.644,0.746603352,43313.54,4515.003,4650.01,1.964616761,635.955,870.967,43949.495,0.193457631,0,0,0,5.81E-06,0.127006392,0.01833462,7.664
15,2,24,11,10,26231.392,26446.407,0.078601477,61478.83,1819.758,2179.783,0.791847236,1085.446,1375.48,62564.276,0.051041985,0,0,0,1.15E-06,0.021091517,0.00144902,7.664
16,3,10,28,10,28784.586,29099.6,0.131986085,61065.36,553.855,723.768,1.18904655,853.27,1093.277,61918.63,0.090195905,0,0,0,2.01E-06,0.040962356,7.73E-04,8.782
16,3,10,28,24,23130.001,23280.002,1.433088576,66961.12,3714.377,3899.386,2.508776471,430.617,760.626,67391.737,0.710891055,1413.991,2113.904,0.063857227,1.09E-05,0.242346892,0.081406784,8.782
17,3,10,28,10,28759.586,29049.599,0.108553702,61065.36,1048.78,1353.79,0.66815626,848.268,1123.279,61913.628,0.078484586,0,0,0,1.76E-06,0.035720209,0.001280708,6.958
17,3,10,28,24,29745.22,29895.217,1.127829592,66961.12,4299.537,4449.614,1.217119058,555.619,750.624,67516.739,0.497288927,1413.991,2113.904,0.063857227,7.86E-06,0.230726536,0.079699396,6.958
18,3,10,11,10,23604.556,23929.563,0.115570023,61065.36,1668.712,1898.719,1.007352102,NA,NA,NA,0,0,0,0,NA,NA,NA,6.566
18,3,10,11,24,29745.22,29895.217,1.243299167,66961.12,4909.628,4959.629,1.519954717,365.625,720.629,67326.745,0.288692856,3954.47,4419.523,0.015023836,5.51E-06,0.118480045,0.018676476,6.566
19,3,24,28,24,21824.522,21949.518,0.672808451,61065.36,2513.91,2703.827,1.365778426,1038.273,1373.285,62103.633,0.347296176,5560.058,5690.065,0.064933237,6.35E-06,0.139092772,0.051624248,6.399
19,3,24,28,10,24415.017,24790.029,0.128767319,66961.12,579.402,879.405,0.481166942,1445.638,1750.642,68406.758,0.059892627,2604.818,2874.821,0.050558517,2.04E-07,0.053642725,0.050272582,6.399
20,3,24,28,24,22649.533,22829.537,0.612806135,61065.36,3229.013,3393.925,1.408306079,1033.273,1368.282,62098.633,0.242797447,5560.058,5690.065,0.064933237,4.18E-06,0.115659047,0.058206613,6.564
20,3,24,28,10,23215.002,23435.005,0.083361437,66961.12,1674.421,1914.343,0.462093171,1465.641,1635.642,68426.761,0.05320555,2604.818,2874.821,0.050558517,5.79E-08,0.051386604,0.050521151,6.564
21,3,24,11,24,21044.507,21149.51,0.466697607,61065.36,4039.047,4204.053,1.434108308,983.273,1388.283,62048.633,0.118325546,0,0,0,2.60E-06,0.03865778,0.007306284,6.421
21,3,24,11,10,23255.003,23580.007,0.106114468,66961.12,2144.348,2389.351,0.525851608,NA,NA,NA,0,0,0,0,NA,NA,NA,6.421
22,3,24,11,24,24359.571,24454.569,0.69160833,61065.36,4849.07,4984.075,0.749420398,1148.276,1343.28,62213.636,0.138532963,0,0,0,3.01E-06,0.05211197,0.010163571,5.221
22,3,24,11,10,22029.873,22334.885,0.122174976,66961.12,2884.362,3069.366,0.161845304,1460.642,1725.644,68421.762,0.033286478,0,0,0,6.90E-07,0.010598567,0.001381317,5.221
