fish#,mass_(g),group,acclimation_temperature_(C),acclimation_salinity_(ppt),test_temperature_(C),rmr_rate_abs_(umolO2/min),mmr_rate_abs_(umolO2/min),rmr_background_rate_abs_(umolO2/min),mmr_background_rate_abs_(umolO2/min),resting_metabolic_rate_(umolO2/min/g),maximal_metabolic_rate_(umolO2/min/g),aerobic_scope_(umolO2/min/g)
4,6.932,1,10,28,10,0.119320938,0.998146808,0,0,0.017213061,0.143991173,0.126778112
4,6.932,1,10,28,24,0.891944719,1.700944011,0.097080112,0.065083423,0.114665985,0.235986813,0.121320828
5,5.409,1,10,28,10,0.170834736,0.885132468,0,0,0.031583423,0.163640686,0.132057262
5,5.409,1,10,28,24,0.768469843,1.574894024,0.10210262,0.066626425,0.123196011,0.278844075,0.155648064
6,5.839,1,10,11,10,0.184822271,0.900692245,0,0,0.031653069,0.154254538,0.122601468
6,5.839,1,10,11,24,0.899710877,1.051648981,0.052406795,0.015180116,0.145111163,0.177507941,0.032396777
7,8.597,1,10,11,10,0.205603154,0.956186,0,0,0.023915686,0.111223217,0.087307531
7,8.597,1,10,11,24,1.191266048,1.571340132,0.063173435,0.018265185,0.131219334,0.180653129,0.049433795
9,6.843,2,10,28,10,0.142849847,1.11627425,0.037221357,0.001572393,0.015435992,0.162896662,0.14746067
9,6.843,2,10,28,24,0.865122235,2.152696813,0.111745129,0.066923243,0.110094565,0.30480397,0.194709406
10,8.887,2,10,28,10,0.230396129,1.083185013,0.066379449,0.00345351,0.018455798,0.121495612,0.103039814
10,8.887,2,10,28,24,1.271442817,2.598178652,0.145028061,0.07067539,0.126748594,0.284404553,0.157655959
11,6.597,2,10,11,10,0.124624478,1.712398074,0.064258271,0.005367516,0.009150554,0.258758611,0.249608057
11,6.597,2,10,11,24,0.857993825,3.106824257,0.117390784,0.017543367,0.112263611,0.468285719,0.356022108
12,7.571,2,10,11,10,0.187354484,1.030786247,0.030206788,0.004404297,0.020756531,0.135567554,0.114811023
12,7.571,2,10,11,24,0.759859274,2.334178381,0.142591402,0.019707384,0.08153056,0.305702153,0.224171592
13,5.714,2,24,28,24,0.716351201,1.30415334,0.150341846,0.057368672,0.09905659,0.218198227,0.119141637
13,5.714,2,24,28,10,0.157389055,0.536018831,0.053396408,0.05034983,0.018199623,0.084996325,0.066796702
14,8.035,2,24,11,24,0.896246675,1.721426739,0.178130677,0.024774518,0.089373491,0.211157713,0.121784222
14,8.035,2,24,11,10,0.118951297,0.804714184,0.022674835,0.001092058,0.011982136,0.100015199,0.088033063
15,7.664,2,24,11,24,0.746603352,1.964616761,0.127006392,0.01833462,0.080845115,0.253951219,0.173106104
15,7.664,2,24,11,10,0.078601477,0.791847236,0.021091517,0.00144902,0.007503909,0.103131291,0.095627382
