"fish_ID","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output"
"fish9_acclimation",1,1,191.899904474507,-0.00461333542859462,0.949,1085.47114579503,47,88,20231.006,20436.022,98.754,97.514,-0.00461333542859462,NA,NA,-0.00461333542859462,"%Air","sec",0.175,0.006843,NA,28,10,1.013253,-0.142849847116917,-0.0208753247284696,NA,"umolO2/min/g",-0.0208753247284696
"fish9_opposite",9,1,1018.42305319454,-0.0368772117717485,0.981,68.9281588030538,977,996,24881.299,24976.303,100.639,97.32,-0.0368772117717485,NA,NA,-0.0368772117717485,"%Air","sec",0.175,0.006843,NA,28,24,1.013253,-0.86512223463939,-0.126424409562968,NA,"umolO2/min/g",-0.126424409562968
"fish10_acclimation",14,1,308.723516470362,-0.0074406423696525,0.952,2513.16472839941,1612,1658,28052.524,28282.539,100.01,98.164,-0.0074406423696525,NA,NA,-0.0074406423696525,"%Air","sec",0.175,0.008887,NA,28,10,1.013253,-0.230396129093156,-0.0259250736011203,NA,"umolO2/min/g",-0.0259250736011203
"fish10_opposite",13,1,1577.43443949658,-0.0541972730848296,0.992,208.110086319423,1454,1471,27266.46,27351.467,99.706,95.139,-0.0541972730848296,NA,NA,-0.0541972730848296,"%Air","sec",0.175,0.008887,NA,28,24,1.013253,-1.27144281657512,-0.143067718754936,NA,"umolO2/min/g",-0.143067718754936
"fish11_acclimation",16,1,214.029381538373,-0.00361303183611961,0.953,865.268112976876,1853,1890,29257.604,29442.613,108.334,107.627,-0.00361303183611961,NA,NA,-0.00361303183611961,"%Air","sec",0.175,0.006597,NA,11,10,1.013253,-0.124624477936881,-0.0188910835132456,NA,"umolO2/min/g",-0.0188910835132456
"fish11_opposite",9,1,925.634593873182,-0.033176655884168,0.989,100.725138389194,978,996,24886.299,24976.303,99.718,97.043,-0.033176655884168,NA,NA,-0.033176655884168,"%Air","sec",0.175,0.006597,NA,11,24,1.013253,-0.857993824557098,-0.130058181682143,NA,"umolO2/min/g",-0.130058181682143
"fish12_acclimation",3,1,223.069756227526,-0.00543165938981598,0.981,1837.50622750733,294,334,21466.097,21666.101,106.475,105.355,-0.00543165938981598,NA,NA,-0.00543165938981598,"%Air","sec",0.175,0.007571,NA,11,10,1.013253,-0.187354484125936,-0.0247463326014973,NA,"umolO2/min/g",-0.0247463326014973
"fish12_opposite",17,1,968.294440585775,-0.0293820176192029,0.977,21.3265253508996,1933,1952,29661.654,29756.661,97.051,93.801,-0.0293820176192029,NA,NA,-0.0293820176192029,"%Air","sec",0.175,0.007571,NA,11,24,1.013253,-0.759859274494692,-0.100364453109852,NA,"umolO2/min/g",-0.100364453109852
"fish13_acclimation",8,1,825.22703047458,-0.0305356097624363,0.992,1010.84841658981,869,896,24341.272,24476.285,82.095,77.718,-0.0305356097624363,NA,NA,-0.0305356097624363,"%Air","sec",0.175,0.005714,NA,28,24,1.013253,-0.71635120131271,-0.125367728616155,NA,"umolO2/min/g",-0.125367728616155
"fish13_opposite",15,1,246.506861283024,-0.00508287909476009,0.943,1048.62083951581,1736,1775,28676.569,28871.582,100.801,99.682,-0.00508287909476009,NA,NA,-0.00508287909476009,"%Air","sec",0.175,0.005714,NA,28,10,1.013253,-0.157389054587224,-0.027544461775853,NA,"umolO2/min/g",-0.027544461775853
"fish14_acclimation",14,1,1072.14561326686,-0.0346558059921246,0.987,595.352033045889,1588,1615,27932.518,28067.522,104.268,99.385,-0.0346558059921246,NA,NA,-0.0346558059921246,"%Air","sec",0.175,0.008035,NA,11,24,1.013253,-0.896246675074962,-0.111542834483505,NA,"umolO2/min/g",-0.111542834483505
"fish14_opposite",15,1,199.032194501951,-0.0034485586709031,0.976,1148.46898900349,1731,1777,28651.569,28881.583,100.181,99.425,-0.0034485586709031,NA,NA,-0.0034485586709031,"%Air","sec",0.175,0.008035,NA,11,10,1.013253,-0.118951297273256,-0.01480414402903,NA,"umolO2/min/g",-0.01480414402903
"fish15_acclimation",17,1,961.065297735407,-0.0288694414720359,0.997,2521.4400439057,1944,1980,29712.63,29892.644,103.233,98.031,-0.0288694414720359,NA,NA,-0.0288694414720359,"%Air","sec",0.175,0.007664,NA,11,24,1.013253,-0.746603352305907,-0.0974169301025453,NA,"umolO2/min/g",-0.0974169301025453
"fish15_opposite",11,1,159.417809657214,-0.0022787629047133,0.901,735.942869521678,1247,1290,26231.392,26446.407,99.715,99.137,-0.0022787629047133,NA,NA,-0.0022787629047133,"%Air","sec",0.175,0.007664,NA,11,10,1.013253,-0.0786014766055397,-0.0102559337950861,NA,"umolO2/min/g",-0.0102559337950861
