"fish_ID","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","area","S","t","P","rate.abs","rate.a.spec","output.unit","rate.output"
"fish30_acclimation_background",NA,1,101.176345212706,-0.00440133947168479,0.979,3107.41317501952,37,81,777.202,997.308,97.728,96.815,-0.00440133947168479,NA,NA,-0.00440133947168479,"%Air","sec",0.175,NA,28,10,1.013253,-0.136285488096702,NA,"umolO2/min/g",-0.136285488096702
"fish30_opposite_background",NA,1,103.943253916427,-0.00462261882160871,0.996,4817.37963579456,62,163,1203.121,1708.117,98.402,96.084,-0.00462261882160871,NA,NA,-0.00462261882160871,"%Air","sec",0.175,NA,28,24,1.013253,-0.108444487332417,NA,"umolO2/min/g",-0.108444487332417
"fish31_acclimation_background",NA,2,99.3761115558801,-0.000222533011787749,0.146,2195.77736796915,27,74,727.204,962.307,99.215,99.138,-0.000222533011787749,NA,NA,-0.000222533011787749,"%Air","sec",0.175,NA,11,10,1.013253,-0.00767584169630656,NA,"umolO2/min/g",-0.00767584169630656
"fish31_opposite_background",NA,1,103.898587147828,-0.00420660993112106,0.993,5089.4195993274,51,137,1148.122,1578.128,99.084,97.249,-0.00420660993112106,NA,NA,-0.00420660993112106,"%Air","sec",0.175,NA,11,24,1.013253,-0.108788702388319,NA,"umolO2/min/g",-0.108788702388319
"fish32_acclimation_background",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fish32_opposite_background",NA,2,103.24464051257,-0.00381356757831504,0.988,1515.41878432365,93,162,1358.125,1703.116,98.021,96.738,-0.00381356757831504,NA,NA,-0.00381356757831504,"%Air","sec",0.175,NA,11,24,1.013253,-0.0986240880681072,NA,"umolO2/min/g",-0.0986240880681072
"fish33_acclimation_background",NA,1,103.681732783362,-0.0100556837874594,0.998,3128.82342624228,12,100,602.202,1042.307,97.618,93.193,-0.0100556837874594,NA,NA,-0.0100556837874594,"%Air","sec",0.175,NA,28,24,1.013253,-0.235901664227731,NA,"umolO2/min/g",-0.235901664227731
"fish33_opposite_background",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fish34_acclimation_background",NA,2,103.402750040791,-0.00992733197359052,0.994,1505.46733783602,13,59,607.202,837.299,97.395,95.073,-0.00992733197359052,NA,NA,-0.00992733197359052,"%Air","sec",0.175,NA,28,24,1.013253,-0.23289059037753,NA,"umolO2/min/g",-0.23289059037753
"fish34_opposite_background",NA,2,98.8099201219994,0.00167716234805641,0.928,478.592872795679,1,84,748.112,1163.12,100.158,100.724,0.00167716234805641,NA,NA,0.00167716234805641,"%Air","sec",0.175,NA,28,10,1.013253,0.0519325743203315,NA,"umolO2/min/g",0.0519325743203315
"fish35_acclimation_background",NA,2,102.421208502002,-0.00498161519147923,0.991,1638.38266846932,4,87,562.202,977.321,99.674,97.563,-0.00498161519147923,NA,NA,-0.00498161519147923,"%Air","sec",0.175,NA,11,24,1.013253,-0.128831401378481,NA,"umolO2/min/g",-0.128831401378481
"fish35_opposite_background",NA,2,94.5634729824118,0.00205065069488457,0.952,332.716175523554,1,78,748.112,1133.121,96.2,96.768,0.00205065069488457,NA,NA,0.00205065069488457,"%Air","sec",0.175,NA,11,10,1.013253,0.0707331913674372,NA,"umolO2/min/g",0.0707331913674372
"fish36_acclimation_background",NA,2,101.907115056253,-0.00510871741461884,0.982,1251.49123368683,42,96,752.204,1022.309,98.074,96.692,-0.00510871741461884,NA,NA,-0.00510871741461884,"%Air","sec",0.175,NA,11,24,1.013253,-0.132118439195735,NA,"umolO2/min/g",-0.132118439195735
"fish36_opposite_background",NA,3,95.0056959356623,0.00159718006467143,0.905,351.474291025045,3,80,758.113,1143.121,96.313,96.826,0.00159718006467143,NA,NA,0.00159718006467143,"%Air","sec",0.175,NA,11,10,1.013253,0.0550916074807268,NA,"umolO2/min/g",0.0550916074807268
