"fish_ID","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output"
"fish30_acclimation_mmr",NA,1,139.506281789384,-0.0262833479786856,0.999,1271.4817689062,13,56,1561.137,1776.148,98.451,92.893,-0.0262833479786856,NA,NA,-0.0262833479786856,"%Air","sec",0.175,0.006084,NA,28,10,1.013253,-0.813851994633684,-0.133769229887193,NA,"umolO2/min/g",-0.133769229887193
"fish30_opposite_mmr",NA,1,419.328572421004,-0.0506694801687183,0.997,159.6534992945,13,53,6657.931,6857.94,82.237,72.045,-0.0506694801687183,NA,NA,-0.0506694801687183,"%Air","sec",0.175,0.006084,NA,28,24,1.013253,-1.18868243572471,-0.195378441111885,NA,"umolO2/min/g",-0.195378441111885
"fish31_acclimation_mmr",NA,2,157.674987398889,-0.0185128408172913,0.997,154.842427645708,7,38,3131.095,3286.089,99.77,96.845,-0.0185128408172913,NA,NA,-0.0185128408172913,"%Air","sec",0.175,0.005762,NA,11,10,1.013253,-0.638564293543949,-0.110823376179096,NA,"umolO2/min/g",-0.110823376179096
"fish31_opposite_mmr",NA,3,473.779289384009,-0.0486543595995957,0.994,31.8546041781955,4,25,7712.952,7817.952,98.556,93.301,-0.0486543595995957,NA,NA,-0.0486543595995957,"%Air","sec",0.175,0.005762,NA,11,24,1.013253,-1.25826847105933,-0.218373563182805,NA,"umolO2/min/g",-0.218373563182805
"fish32_acclimation_mmr",NA,1,188.925629420512,-0.0218931914332844,0.997,239.41370270139,7,48,4081.097,4286.097,99.434,95.113,-0.0218931914332844,NA,NA,-0.0218931914332844,"%Air","sec",0.175,0.007631,NA,11,10,1.013253,-0.755162887154515,-0.0989598856184661,NA,"umolO2/min/g",-0.0989598856184661
"fish32_opposite_mmr",NA,2,643.969516246053,-0.0649711953799704,0.997,28.9557810608366,4,22,8412.965,8502.97,97.574,91.599,-0.0649711953799704,NA,NA,-0.0649711953799704,"%Air","sec",0.175,0.007631,NA,11,24,1.013253,-1.68024422367141,-0.220186636570752,NA,"umolO2/min/g",-0.220186636570752
"fish33_acclimation_mmr",NA,1,160.563183998736,-0.0437678329396951,0.998,271.953014451828,31,68,1551.136,1736.145,92.699,84.649,-0.0437678329396951,NA,NA,-0.0437678329396951,"%Air","sec",0.175,0.004701,NA,28,24,1.013253,-1.02677300205002,-0.218415869400132,NA,"umolO2/min/g",-0.218415869400132
"fish33_opposite_mmr",NA,1,144.12673091467,-0.0174114178764026,0.998,1050.14239567633,22,71,2602.67,2847.673,98.719,94.657,-0.0174114178764026,NA,NA,-0.0174114178764026,"%Air","sec",0.175,0.004701,NA,28,10,1.013253,-0.53913668759407,-0.114685532353557,NA,"umolO2/min/g",-0.114685532353557
"fish34_acclimation_mmr",NA,3,401.793474382972,-0.0592640556105934,0.995,39.1650926472795,1,28,5126.102,5261.119,97.877,90.422,-0.0592640556105934,NA,NA,-0.0592640556105934,"%Air","sec",0.175,0.00566,NA,28,24,1.013253,-1.39030717780317,-0.245637310565932,NA,"umolO2/min/g",-0.245637310565932
"fish34_opposite_mmr",NA,2,189.338158583565,-0.0189247449670989,0.995,203.227006943569,4,44,4712.804,4912.89,100.068,96.386,-0.0189247449670989,NA,NA,-0.0189247449670989,"%Air","sec",0.175,0.00566,NA,28,10,1.013253,-0.585996177195439,-0.103532893497427,NA,"umolO2/min/g",-0.103532893497427
"fish35_acclimation_mmr",NA,1,382.959306201364,-0.0451100972980277,0.984,142.962093869673,3,23,6286.117,6386.121,99.429,94.959,-0.0451100972980277,NA,NA,-0.0451100972980277,"%Air","sec",0.175,0.005441,NA,11,24,1.013253,-1.16660898681314,-0.214410767655421,NA,"umolO2/min/g",-0.214410767655421
"fish35_opposite_mmr",NA,2,127.221090711063,-0.00857051584573321,0.993,453.874893410967,18,93,3382.596,3757.857,98.234,95.1,-0.00857051584573321,NA,NA,-0.00857051584573321,"%Air","sec",0.175,0.005441,NA,11,10,1.013253,-0.295623208255867,-0.0543325139231515,NA,"umolO2/min/g",-0.0543325139231515
"fish36_acclimation_mmr",NA,1,514.691549573846,-0.0556063718595546,0.998,259.869588564452,1,29,7501.134,7641.14,97.554,89.977,-0.0556063718595546,NA,NA,-0.0556063718595546,"%Air","sec",0.175,0.007191,NA,11,24,1.013253,-1.43805704312383,-0.199980120028345,NA,"umolO2/min/g",-0.199980120028345
"fish36_opposite_mmr",NA,3,173.713184181943,-0.0177014847591769,0.989,105.558460879231,8,33,4282.889,4407.8,97.996,95.69,-0.0177014847591769,NA,NA,-0.0177014847591769,"%Air","sec",0.175,0.007191,NA,11,10,1.013253,-0.610578150672859,-0.0849086567477206,NA,"umolO2/min/g",-0.0849086567477206
