,,,,,,,Acclimation,,,,,,,,,,,,,,,,,,,Opposite
fish#,group,acclimation_temperature,acclimation_salinity,mass,volume,assay_temperature,Channel,Blank,flush_on,flush_off,time,oxygen,from_MMR (row),to_MMR (row),from_RMR,to_RMR,from_background,to_background,treat background as 0,start,wait,measure,width,,,
4,1,10,28,0.006932,0.175,10,A2,B4,600,480,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,125,250,20000,30000,200,400,Y,600,200,280,200,,,
4,1,10,28,0.006932,0.175,24,B1,A3,240,180,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,425,485,20000,30000,80,120,N,240,80,100,80,,,
5,1,10,28,0.005409,0.175,10,A1,B4,600,480,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,225,300,20000,30000,200,400,Y,600,200,280,200,,,
5,1,10,28,0.005409,0.175,24,B2,A3,240,180,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_2_main,,,20000,30000,80,120,N,240,80,100,80,,,
6,1,10,11,0.005839,0.175,10,A3,B4,600,480,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,500,600,20000,30000,200,400,Y,600,200,280,200,,,
6,1,10,11,0.005839,0.175,24,B3,A3,240,180,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,800,900,20000,30000,80,120,N,240,80,100,80,,,
7,1,10,11,0.008597,0.175,10,A4,B4,600,480,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,350,450,20000,30000,200,400,Y,600,200,280,200,,,
7,1,10,11,0.008597,0.175,24,B4,A3,240,180,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,1050,1200,20000,30000,80,120,N,240,80,100,80,,,
background,1,24,11,,0.175,24,B4,,,,,,,,,,1100,1200,Y,,,,,,,
background,1,24,11,,0.175,10,A3,,,,,,,,,,1100,1300,Y,,,,,,,
9,2,10,28,0.006843,0.175,10,A1,B2,600,480,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,170,225,20000,30000,210,290,N,600,200,280,195,,,
9,2,10,28,0.006843,0.175,24,B1,A2,600,180,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,570,650,20000,30000,170,270,N,600,60,120,100,,,
10,2,10,28,0.008887,0.175,10,A2,B2,600,480,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,275,375,20000,30000,210,290,N,600,200,280,195,,,
10,2,10,28,0.008887,0.175,24,B2,A2,600,180,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_2_main,725,790,20000,30000,170,270,N,600,60,120,80,,,
11,2,10,11,0.006597,0.175,10,A3,B2,600,480,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,475,550,20000,30000,210,290,N,600,200,280,195,,,
11,2,10,11,0.006597,0.175,24,B3,A2,600,180,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,895,930,20000,30000,170,270,N,600,60,120,100,,,
12,2,10,11,0.007571,0.175,10,A4,B2,600,480,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,615,640,20000,30000,210,290,N,600,200,280,195,,,
12,2,10,11,0.007571,0.175,24,B4,A2,600,180,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,980,1025,20000,30000,170,270,N,600,60,120,100,,,
13,2,24,28,0.005714,0.175,24,B1,B2,600,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,700,800,20000,30000,120,175,N,600,100,200,150,,,
13,2,24,28,0.005714,0.175,10,A1,A2,600,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,100,170,20000,30000,210,280,N,600,200,400,200,,,
14,2,24,11,0.008035,0.175,24,B3,B2,600,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,800,850,20000,30000,120,175,N,600,100,200,150,,,
14,2,24,11,0.008035,0.175,10,A3,A2,600,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,270,370,20000,30000,210,280,N,600,200,400,200,,,
15,2,24,11,0.007664,0.175,24,B4,B2,600,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,870,900,20000,30000,120,175,N,600,100,200,150,,,
15,2,24,11,0.007664,0.175,10,A4,A2,600,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,300,600,20000,30000,210,280,N,600,200,400,200,,,
background,2,24,28,,0.175,24,B2,,,,,,,,,,1000,1110,N,,,,,,,
background,2,24,28,,0.175,10,A2,,,,,,,,,,500,600,N,,,,,,,
16,3,10,28,0.008782,0.175,10,A1,A4,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,110,160,20000,30000,170,270,Y,850,200,500,300,,,
16,3,10,28,0.008782,0.175,24,B1,B4,600,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,700,800,20000,30000,60,160,N,600,100,200,150,,,
17,3,10,28,0.006958,0.175,10,A2,A4,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,200,400,20000,30000,170,270,Y,850,200,500,300,,,
17,3,10,28,0.006958,0.175,24,B2,B4,600,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_2_main,850,950,20000,30000,60,160,N,600,100,200,150,,,
18,3,10,11,0.006566,0.175,10,A3,A4,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,325,500,20000,30000,170,270,Y,850,200,500,300,,,
18,3,10,11,0.006566,0.175,24,B3,B4,600,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,940,1000,20000,30000,60,160,N,600,100,200,150,,,
19,3,24,28,0.006399,0.175,24,B1,A4,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,450,600,20000,30000,180,280,N,850,100,200,100,,,
19,3,24,28,0.006399,0.175,10,A1,B4,600,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,100,200,20000,30000,290,355,N,600,200,400,150,,,
20,3,24,28,0.006564,0.175,24,B2,A4,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_2_main,600,680,20000,30000,180,280,N,850,100,200,100,,,
20,3,24,28,0.006564,0.175,10,A2,B4,600,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,240,400,20000,30000,290,350,N,600,200,400,150,,,
21,3,24,11,0.006421,0.175,24,B3,A4,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,800,880,20000,30000,180,280,N,850,100,200,100,,,
21,3,24,11,0.006421,0.175,10,A3,B4,600,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,400,500,20000,30000,290,350,Y,600,200,400,150,,,
22,3,24,11,0.005221,0.175,24,B4,A4,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,950,1000,20000,30000,180,280,N,850,100,200,100,,,
22,3,24,11,0.005221,0.175,10,A4,B4,600,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,520,620,20000,30000,290,350,N,600,200,400,150,,,
background,3,10,11,,0.175,10,A4,,,,,,,,,,350,500,Y,,,,,,,
background,3,10,11,,0.175,24,B4,,,,,,,,,,750,900,N,,,,,,,
23,4,10,28,0.007145,0.175,10,A1,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,25,100,20000,30000,60,160,Y,850,200,400,250,,,
23,4,10,28,0.007145,0.175,24,B1,B2,900,240,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,150,200,20000,30000,150,300,N,890,100,140,100,,,
24,4,10,11,0.008992,0.175,10,A3,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,250,325,20000,30000,60,160,Y,850,200,400,250,,,
24,4,10,11,0.008992,0.175,24,B3,B2,900,240,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,525,600,20000,30000,150,300,N,890,100,140,100,,,
25,4,10,11,0.007287,0.175,10,A4,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,400,550,20000,30000,60,160,Y,850,200,400,250,,,
