Fish ID (#),group,Total Length (mm),Mass (g),Sex (M/F),Acclimation Temperature (C),Acclimation Salinity (ppt),Test Temperature (C),resting_metabolic_rate_(umolO2/min/g),maximal_metabolic_rate_(umolO2/min/g),aerobic_scope_(umolO2/min/g),Maximal COX Activity (umol/min/mg protein),Maximal CS Activity (umol/min/mg protein),Maximal LDH Activity (umol/min/mg protein),Hematocrit (%)
4,1,84,6.932,F,10,28,24,0.017213061,0.143991173,0.126778112,,,,
4,1,84,6.932,F,10,28,10,0.114665985,0.235986813,0.121320828,,,,
5,1,78,5.409,F,10,28,24,0.031583423,0.163640686,0.132057262,,,,
5,1,78,5.409,F,10,28,10,0.123196011,0.278844075,0.155648064,,,,
6,1,83,5.839,F,10,11,24,0.031653069,0.154254538,0.122601468,,,,
6,1,83,5.839,F,10,11,10,0.145111163,0.177507941,0.032396777,,,,
7,1,87,8.597,F,10,11,24,0.023915686,0.111223217,0.087307531,,,,
7,1,87,8.597,F,10,11,10,0.131219334,0.180653129,0.049433795,,,,
9,2,82,6.843,M,10,28,24,0.015435992,0.162896662,0.14746067,,,,
9,2,82,6.843,M,10,28,10,0.110094565,0.30480397,0.194709406,,,,
10,2,85,8.887,M,10,28,24,0.018455798,0.121495612,0.103039814,,,,
10,2,85,8.887,M,10,28,10,0.126748594,0.284404553,0.157655959,,,,
11,2,82,6.597,M,10,11,24,0.009150554,0.258758611,0.249608057,,,,
11,2,82,6.597,M,10,11,10,0.112263611,0.468285719,0.356022108,,,,
12,2,81,7.571,F,10,11,24,0.020756531,0.135567554,0.114811023,,,,
12,2,81,7.571,F,10,11,10,0.08153056,0.305702153,0.224171592,,,,
13,2,82,5.714,M,24,28,24,0.09905659,0.218198227,0.119141637,,,,
13,2,82,5.714,M,24,28,10,0.018199623,0.084996325,0.066796702,,,,
14,2,85,8.035,M,24,11,24,0.089373491,0.211157713,0.121784222,,,,
14,2,85,8.035,M,24,11,10,0.011982136,0.100015199,0.088033063,,,,
15,2,,7.664,M,24,11,24,0.080845115,0.253951219,0.173106104,,,,
15,2,,7.664,M,24,11,10,0.007503909,0.103131291,0.095627382,,,,
16,3,88,8.782,F,10,28,24,0.01502916,0.135395872,0.120366712,,,,
16,3,88,8.782,F,10,28,10,0.135588896,0.276402834,0.140813938,,,,
17,3,79,6.958,F,10,28,24,0.015601279,0.096027057,0.080425777,,,,
17,3,79,6.958,F,10,28,10,0.128931166,0.163469339,0.034538173,,,,
18,3,84,6.566,M,10,11,24,0.017601283,0.153419449,0.135818166,,,,
18,3,84,6.566,M,10,11,10,0.171309644,0.228644265,0.057334621,,,,
19,3,80,6.399,M,24,28,24,0.083406107,0.205368679,0.121962572,,,,
19,3,80,6.399,M,24,28,10,0.011740052,0.067337765,0.055597713,,,,
20,3,81,6.564,M,24,28,24,0.075738435,0.205682429,0.129943994,,,,
20,3,81,6.564,M,24,28,10,0.004871242,0.062701405,0.057830163,,,,
21,3,83,6.421,F,24,11,24,0.066662487,0.222208694,0.155546207,,,,
21,3,83,6.421,F,24,11,10,0.016526159,0.081895594,0.065369435,,,,
22,3,81,5.221,M,24,11,24,0.122485417,0.141592957,0.01910754,,,,
22,3,81,5.221,M,24,11,10,0.021370697,0.03073434,0.009363643,,,,
23,4,86,7.145,F,10,28,24,0.025016359,0.121674314,0.096657955,,,,
23,4,86,7.145,F,10,28,10,0.099075613,0.301540371,0.202464758,,,,
24,4,91,8.992,F,10,11,24,0.012578917,0.119330607,0.10675169,,,,
24,4,91,8.992,F,10,11,10,0.103686734,0.182046861,0.078360126,,,,
25,4,85,7.287,M,10,11,24,0.015580099,0.108469302,0.092889204,,,,
25,4,85,7.287,M,10,11,10,0.093789515,0.284260819,0.190471304,,,,
26,4,87,6.203,F,24,28,24,0.128193038,0.320095663,0.191902626,,,,
26,4,87,6.203,F,24,28,10,0.017476805,0.107684626,0.090207821,,,,
27,4,84,7.224,M,24,28,24,0.125816606,0.240703756,0.11488715,,,,
27,4,84,7.224,M,24,28,10,0.020411522,0.054116367,0.033704845,,,,
28,4,83,6.314,F,24,11,24,0.096188053,0.235904247,0.139716194,,,,
28,4,83,6.314,F,24,11,10,0.019949318,0.082720955,0.062771636,,,,
29,4,,6.89,F,24,11,24,0.094874641,0.239894487,0.145019846,,,,
29,4,,6.89,F,24,11,10,0.015056575,0.145412982,0.130356408,,,,
30,5,,6.084,M,10,28,24,0.027292385,0.133269659,0.105977274,,,,
30,5,,6.084,M,10,28,10,0.097019015,0.184316771,0.087297756,,,,
31,5,,5.762,M,10,11,24,0.018275122,0.110823376,0.092548254,,,,
31,5,,5.762,M,10,11,10,0.087695545,0.214849973,0.127154428,,,,
32,5,,7.631,,10,11,24,0.021923231,0.098959886,0.077036655,,,,
32,5,,7.631,,10,11,10,0.064644433,0.217484985,0.152840552,,,,
33,5,,4.701,F,24,28,24,0.096045647,0.2068351,0.110789453,,,,
33,5,,4.701,F,24,28,10,0.029516449,0.114685532,0.085169084,,,,
34,5,,5.66,F,24,28,24,0.091462458,0.234363309,0.142900851,,,,
34,5,,5.66,F,24,28,10,0.018146676,0.103532893,0.085386217,,,,
35,5,,5.441,F,24,11,24,0.079810516,0.212261101,0.132450586,,,,
35,5,,5.441,F,24,11,10,0.018696166,0.054332514,0.035636348,,,,
36,5,,7.191,F,24,11,24,0.066539786,0.197995866,0.13145608,,,,
36,5,,7.191,F,24,11,10,0.016523943,0.084908657,0.068384714,,,,
37,6,,8.592,M,10,28,10,0.027296556,0.079455473,0.052158917,,,,
37,6,,8.592,M,10,28,24,0.078534041,0.232275472,0.15374143,,,,
38,6,,8.865,F,24,28,,0.113632139,0.230178613,0.116546473,,,,
39,6,,9.664,M,24,28,,0.08775554,0.17454453,0.08678899,,,,
40,6,,8.942,M,24,11,,0.07386226,0.204827658,0.130965398,,,,
41,,,5.648,F,24,28,,,,,,,,
42,,,6.346,F,24,28,,,,,,,,
43,,,8.065,F,24,11,,,,,,,,
44,,,8.506,M,10,28,,,,,,,,
45,,,8.264,F,10,28,,,,,,,,
46,,,8.206,M,10,28,,,,,,,,
47,,,8.345,F,10,11,,,,,,,,
48,,,5.5,M,10,11,,,,,,,,
49,,,5.924,F,10,11,,,,,,,,
50,,,4.748,M,24,11,,,,,,,,
51,,,4.752,F,24,11,,,,,,,,
52,,77,5.421,M,24,11,,,,,,,,
53,,,3.78,F,24,28,,,,,,,,
54,,70,4.03,F,10,11,,,,,,,,
55,,78,6.625,F,10,28,,,,,,,,
56,,89,7.601,M,24,11,,,,,,,,
57,,71,4.303,F,24,28,,,,,,,,
58,,75,5.76,M,10,11,,,,,,,,
59,,68,4.376,M,10,28,,,,,,,,
60,,69,4.232,M,24,11,,,,,,,,
61,,61,3.147,M,24,28,,,,,,,,
62,,74,4.928,F,10,11,,,,,,,,
63,,79,5.588,F,10,28,,,,,,,,
64,,68,3.778,M,24,11,,,,,,,,
65,,71,3.64,F,24,28,,,,,,,,
66,,74,4.73,F,10,11,,,,,,,,
67,,67,3.736,F,10,28,,,,,,,,
68,,74,4.628,F,24,11,,,,,,,,
69,,79,6.157,F,24,28,,,,,,,,
70,,72,4.902,F,10,11,,,,,,,,
71,,68,3.89,F,10,28,,,,,,,,
72,,66,3.457,F,24,11,,,,,,,,
73,,69,3.934,M,24,28,,,,,,,,
74,,74,4.735,F,10,11,10,,,,13.645,5.448,128.559,33.33
74,,74,4.735,F,10,11,24,,,,13.028,6.020,172.951,33.33
75,,65,3.586,F,10,28,10,,,,14.657,6.145,134.337,
75,,65,3.586,F,10,28,24,,,,13.124,6.955,186.454,
76,,66,3.203,F,24,11,10,,,,12.517,7.115,156.454,
76,,66,3.203,F,24,11,24,,,,14.303,8.951,207.955,
77,,69,3.894,M,24,28,10,,,,9.836,5.035,114.277,35.71
77,,69,3.894,M,24,28,24,,,,10.716,5.394,143.404,35.71
78,,70,4.403,F,10,11,10,,,,11.102,4.177,110.235,25.93
78,,70,4.403,F,10,11,24,,,,11.774,5.078,149.688,25.93
79,,79,6.167,F,10,28,10,,,,8.919,3.185,78.879,29.41
79,,79,6.167,F,10,28,24,,,,8.917,5.066,112.277,29.41
80,,74,4.994,F,10,28,10,,,,14.627,6.646,134.980,37.50
80,,74,4.994,F,10,28,24,,,,13.691,8.169,182.689,37.50
81,,61,2.773,F,24,11,10,,,,7.849,5.505,117.334,30.00
81,,61,2.773,F,24,11,24,,,,9.314,5.907,151.866,30.00
82,,69,3.871,M,24,28,10,,,,12.224,5.644,129.346,
82,,69,3.871,M,24,28,24,,,,12.301,6.458,156.354,
83,,88,9.011,F,10,11,10,,,,9.445,4.454,90.292,21.36
83,,88,9.011,F,10,11,24,,,,9.946,4.351,125.595,21.36
84,,86,9.171,M,24,28,10,,,,10.356,5.877,135.835,19.25
84,,86,9.171,M,24,28,24,,,,11.822,6.758,166.743,19.25
85,,65,3.245,F,24,11,10,,,,9.266,4.877,108.093,20.00
85,,65,3.245,F,24,11,24,,,,10.292,5.773,150.464,20.00
86,,86,7.832,F,10,28,10,,,,9.288,4.049,95.653,27.50
86,,86,7.832,F,10,28,24,,,,9.780,4.562,100.851,27.50
87,,69,3.859,F,10,11,10,,,,9.349,4.043,83.531,28.00
87,,69,3.859,F,10,11,24,,,,8.805,4.262,109.450,28.00
88,,71,3.878,F,24,28,10,,,,7.812,4.688,107.310,
88,,71,3.878,F,24,28,24,,,,9.148,4.889,126.202,
89,,75,4.838,F,24,11,10,,,,8.150,3.761,89.153,25.36
89,,75,4.838,F,24,11,24,,,,8.818,3.796,99.796,25.36
90,,65,3.007,F,10,28,10,,,,10.266,3.880,115.827,31.25
90,,65,3.007,F,10,28,24,,,,10.433,5.081,116.116,31.25
91,,73,4.674,F,10,11,10,,,,10.844,4.255,96.167,22.22
91,,73,4.674,F,10,11,24,,,,10.763,4.712,121.367,22.22
92,,68,3.824,M,24,28,10,,,,7.727,4.521,87.967,27.03
92,,68,3.824,M,24,28,24,,,,8.643,3.914,114.190,27.03
93,,76,5.842,M,24,11,10,,,,7.631,3.747,79.679,26.83
93,,76,5.842,M,24,11,24,,,,8.077,4.403,98.100,26.83
94,,70,3.55,M,10,28,10,,,,9.065,4.276,87.681,33.33
94,,70,3.55,M,10,28,24,,,,9.594,4.471,114.478,33.33
95,,85,7.675,M,10,11,10,,,,7.500,3.941,92.642,24.50
95,,85,7.675,M,10,11,24,,,,8.320,3.946,106.342,24.50
96,,67,3.603,F,24,28,10,,,,6.446,5.007,98.308,35.71
96,,67,3.603,F,24,28,24,,,,10.524,5.437,139.447,35.71
97,,74,4.65,M,24,11,10,,,,2.907,5.282,122.198,34.29
97,,74,4.65,M,24,11,24,,,,6.031,5.167,163.885,34.29
98,,81,7,F,10,28,10,,,,9.865,3.721,97.602,22.90
98,,81,7,F,10,28,24,,,,9.960,4.177,117.839,22.90
99,,82,6.788,M,10,11,10,,,,10.526,6.122,160.310,24.14
99,,82,6.788,M,10,11,24,,,,9.107,6.255,175.618,24.14
100,,70,4.242,F,24,28,10,,,,6.544,3.424,76.386,25.00
100,,70,4.242,F,24,28,24,,,,7.860,3.310,84.167,25.00
101,,67,3.46,M,24,11,10,,,,4.494,3.879,103.731,36.67
101,,67,3.46,M,24,11,24,,,,13.392,5.327,121.154,36.67
102,,70,4.155,F,10,28,10,,,,12.497,4.692,133.095,24.32
102,,70,4.155,F,10,28,24,,,,12.486,4.368,130.507,24.32
103,,70,4.199,F,10,11,10,,,,8.678,2.925,91.723,30.43
103,,70,4.199,F,10,11,24,,,,8.024,3.762,99.042,30.43
104,,84,6.93,F,24,28,10,,,,13.323,4.305,150.668,32.62
104,,84,6.93,F,24,28,24,,,,14.432,6.271,155.451,32.62
105,,69,3.438,F,24,11,10,,,,9.069,5.656,126.529,30.00
105,,69,3.438,F,24,11,24,,,,11.573,5.366,157.522,30.00
